"job_id","job_title","company","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20 15:13:33"
777836,"Senior Data Analyst SME","Modern Technology Solutions","Albuquerque, NM","Full-time","375000.0","2023-08-21 06:37:31"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","Bethesda, MD","Full-time","375000.0","2023-08-18 07:00:22"
1147675,"Sr Data Analyst","Illuminate Mission Solutions","Bethesda, MD","Full-time","375000.0","2023-04-05 12:00:12"
1059665,"Data Analyst","Anthropic","San Francisco, CA","Full-time","350000.0","2023-06-22 07:00:59"
1500195,"Senior Data Analyst / Quant Analyst 1 yr Fixed Contract $300,000 ...","Eden Smith Group","New York, NY","Full-time","340000.0","2023-04-12 10:59:55"
131527,"Senior Data Analyst","GradBay","United States","Full-time","240000.0","2023-12-19 23:04:39"
1433800,"Senior Data Analyst","GradBay","New York, NY","Full-time","240000.0","2023-12-18 17:59:56"
144450,"Data Analyst","Anthropic","San Francisco, CA","Full-time","240000.0","2023-06-21 13:00:59"
841064,"Investigations and Insights Lead Data Analyst - USDS","TikTok","New York, NY","Full-time","239777.5","2023-05-27 13:59:57"
